"#","Title","Views","Likes","Dislikes","Comments","Reputation","Rep_v2","Rep_live","Custom","Action"
"75","Cuphead DLC Announcement Trailer | Xbox One | Windows 10 | Steam | GOG","1,608,741","72,970","763","15,445","1,988","294","13,445","No","Delete"
"76","Cuphead DLC Announcement Trailer | Xbox One | Windows 10 | Steam | GOG","1,340,584","65,720","660","13,825","1,839","275","12,258","No","Delete"
"77","Cuphead DLC Announcement Trailer | Xbox One | Windows 10 | Steam | GOG","978,409","53,578","502","11,281","1,585","242","10,245","No","Delete"
"78","BIG SHAQ - MAN DON'T DANCE (OFFICIAL MUSIC VIDEO)","6,891,734","400,420","18,159","36,025","5,793","754","40,820","No","Delete"
"79","BIG SHAQ - MAN DON'T DANCE (OFFICIAL MUSIC VIDEO)","5,199,107","328,699","13,876","30,797","5,052","669","35,450","No","Delete"
"80","BIG SHAQ - MAN DON'T DANCE (OFFICIAL MUSIC VIDEO)","3,291,375","237,975","8,625","23,787","4,041","550","28,024","No","Delete"
"81","Fallout 76 Trailer - E3 2018","2,102,111","50,978","1,542","8,722","1,443","225","9,154","No","Delete"
"82","Fallout 76 Trailer - E3 2018","1,964,004","49,383","1,443","8,457","1,411","221","8,886","No","Delete"
"83","Fallout 76 Trailer - E3 2018","1,729,107","45,820","1,253","7,779","1,335","210","8,249","No","Delete"
"84","KINGDOM HEARTS III � E3 2018 Frozen Trailer","1,453,609","40,628","1,018","9,390","1,313","207","8,413","No","Delete"
"85","KINGDOM HEARTS III � E3 2018 Frozen Trailer","1,294,205","39,318","898","8,998","1,281","202","8,107","No","Delete"
"86","KINGDOM HEARTS III � E3 2018 Frozen Trailer","1,052,924","36,438","692","8,398","1,216","193","7,547","No","Delete"
"87","Halo Infinite - E3 2018 - Announcement Trailer","2,557,709","65,412","2,264","17,165","1,914","287","13,698","No","Delete"
"88","Halo Infinite - E3 2018 - Announcement Trailer","2,322,793","61,951","2,098","16,081","1,834","277","13,007","No","Delete"
"89","Halo Infinite - E3 2018 - Announcement Trailer","1,969,012","55,567","1,801","14,202","1,688","258","11,747","No","Delete"
"90","Game Theory: FNAF, The Theory That Changed EVERYTHING!! (FNAF 6 Ultimate Custom Night)","4,585,563","200,284","6,154","47,646","4,229","569","31,933","No","Delete"
"91","Game Theory: FNAF, The Theory That Changed EVERYTHING!! (FNAF 6 Ultimate Custom Night)","4,289,334","194,688","5,842","46,098","4,139","558","31,183","No","Delete"
"92","Game Theory: FNAF, The Theory That Changed EVERYTHING!! (FNAF 6 Ultimate Custom Night)","3,769,704","182,227","5,244","43,003","3,943","535","29,591","No","Delete"
"93","Game Theory: FNAF, The Theory That Changed EVERYTHING!! (FNAF 6 Ultimate Custom Night)","2,341,772","140,374","2,951","33,760","3,289","456","24,253","No","Delete"
"94","DIY MASTER EP 3: Boho Shibori Tie Dye","1,203,227","72,652","1,145","9,413","1,791","269","11,245","No","Delete"
"95","DIY MASTER EP 3: Boho Shibori Tie Dye","1,106,313","69,703","1,061","9,124","1,741","263","10,873","No","Delete"
"96","DIY MASTER EP 3: Boho Shibori Tie Dye","976,205","64,960","939","8,650","1,659","252","10,264","No","Delete"
"97","DIY MASTER EP 3: Boho Shibori Tie Dye","669,641","52,938","596","7,608","1,451","224","8,726","No","Delete"
"98","Belmont Stakes 2018 I FULL RACE I Justify's Pursuit of the Triple Crown I NBC Sports","594,004","4,470","520","1,195","260","53","756","No","Delete"
"99","Belmont Stakes 2018 I FULL RACE I Justify's Pursuit of the Triple Crown I NBC Sports","1,146,392","6,789","1,038","2,081","363","71","1,499","No","Delete"
"100","Belmont Stakes 2018 I FULL RACE I Justify's Pursuit of the Triple Crown I NBC Sports","1,124,169","6,682","1,020","1,959","354","69","1,423","No","Delete"
"101","Belmont Stakes 2018 I FULL RACE I Justify's Pursuit of the Triple Crown I NBC Sports","1,079,990","6,482","984","1,826","342","67","1,330","No","Delete"
"102","Belmont Stakes 2018 I FULL RACE I Justify's Pursuit of the Triple Crown I NBC Sports","846,887","5,758","850","1,539","309","62","1,093","No","Delete"
"103","Anthem Official Cinematic Trailer (2018)","1,504,564","32,430","4,316","6,105","1,003","170","6,659","No","Delete"
"104","Anthem Official Cinematic Trailer (2018)","2,597,509","44,981","5,871","7,791","1,252","206","8,784","No","Delete"
"105","Anthem Official Cinematic Trailer (2018)","2,481,017","43,895","5,757","7,647","1,231","203","8,609","No","Delete"
"106","Anthem Official Cinematic Trailer (2018)","2,315,639","42,264","5,625","7,462","1,200","199","8,362","No","Delete"
"107","Anthem Official Cinematic Trailer (2018)","1,924,828","37,927","5,141","6,901","1,115","186","7,650","No","Delete"
"108","Madden NFL 19 � Official Reveal Trailer","454,950","7,769","1,109","2,080","386","75","1,617","No","Delete"
"109","Madden NFL 19 � Official Reveal Trailer","1,045,841","13,445","3,035","3,851","569","105","3,369","No","Delete"
"110","Madden NFL 19 � Official Reveal Trailer","966,515","12,812","2,848","3,661","550","102","3,183","No","Delete"
"111","Madden NFL 19 � Official Reveal Trailer","856,610","11,874","2,593","3,389","521","98","2,912","No","Delete"
